scenario,year,population_millions,population
SSP3,2010,6872.462262253336,6872462262
SSP3,2011,6945.33528406947,6945335284
SSP3,2012,7021.6097886870875,7021609789
SSP3,2013,7100.796011678309,7100796012
SSP3,2014,7182.404680499898,7182404680
SSP3,2015,7265.946271377439,7265946271
SSP3,2016,7350.931164748679,7350931165
SSP3,2017,7436.869800436185,7436869800
SSP3,2018,7523.2726889216465,7523272689
SSP3,2019,7609.650165463145,7609650165
SSP3,2020,7695.51265174279,7695512652
SSP3,2021,7780.453179168282,7780453179
SSP3,2022,7864.395495425607,7864395495
SSP3,2023,7947.345742713106,7947345743
SSP3,2024,8029.310592582411,8029310593
SSP3,2025,8110.296098657803,8110296099
SSP3,2026,8190.327399746273,8190327400
SSP3,2027,8269.50438398028,8269504384
SSP3,2028,8347.945392814323,8347945393
SSP3,2029,8425.768976650274,8425768977
SSP3,2030,8503.093589989925,8503093590
SSP3,2031,8580.007056286571,8580007056
SSP3,2032,8656.475446256118,8656475446
SSP3,2033,8732.434187662022,8732434188
SSP3,2034,8807.818535842543,8807818536
SSP3,2035,8882.564037411252,8882564037
SSP3,2036,8956.64916493204,8956649165
SSP3,2037,9030.223540501607,9030223541
SSP3,2038,9103.480061523785,9103480062
SSP3,2039,9176.611501986788,9176611502
SSP3,2040,9249.81053022788,9249810530
SSP3,2041,9323.210228642552,9323210229
SSP3,2042,9396.704725797252,9396704726
SSP3,2043,9470.128560321285,9470128560
SSP3,2044,9543.31626250801,9543316263
SSP3,2045,9616.102265985404,9616102266
SSP3,2046,9688.32952002147,9688329520
SSP3,2047,9759.874383315153,9759874383
SSP3,2048,9830.621574509249,9830621575
SSP3,2049,9900.455902703012,9900455903
SSP3,2050,9969.262036990462,9969262037
SSP3,2051,10036.954908784899,10036954909
SSP3,2052,10103.570156453738,10103570156
SSP3,2053,10169.173647331894,10169173647
SSP3,2054,10233.83118490996,10233831185
SSP3,2055,10297.608701578278,10297608702
SSP3,2056,10360.569478340669,10360569478
SSP3,2057,10422.76672070241,10422766721
SSP3,2058,10484.251108259845,10484251108
SSP3,2059,10545.073503755317,10545073504
SSP3,2060,10605.284464119663,10605284464
SSP3,2061,10664.938146256922,10664938146
SSP3,2062,10724.102351155565,10724102351
SSP3,2063,10782.848016084428,10782848016
SSP3,2064,10841.246287511334,10841246288
SSP3,2065,10899.368364439582,10899368364
SSP3,2066,10957.2786165101,10957278617
SSP3,2067,11015.015354628076,11015015355
SSP3,2068,11072.610208588794,11072610209
SSP3,2069,11130.094812315272,11130094812
SSP3,2070,11187.500834542861,11187500835
SSP3,2071,11244.851880308994,11244851880
SSP3,2072,11302.139579510691,11302139580
SSP3,2073,11359.347583587416,11359347584
SSP3,2074,11416.459447982885,11416459448
SSP3,2075,11473.458776138506,11473458776
SSP3,2076,11530.334060399433,11530334060
SSP3,2077,11587.092831275311,11587092831
SSP3,2078,11643.747611933833,11643747612
SSP3,2079,11700.310903442132,11700310903
SSP3,2080,11756.795119158714,11756795119
SSP3,2081,11813.208805642038,11813208806
SSP3,2082,11869.544570324384,11869544570
SSP3,2083,11925.79124647826,11925791246
SSP3,2084,11981.93748019215,11981937480
SSP3,2085,12037.972157868988,12037972158
SSP3,2086,12093.883806155325,12093883806
SSP3,2087,12149.660345245446,12149660345
SSP3,2088,12205.289159111802,12205289159
SSP3,2089,12260.757873825774,12260757874
SSP3,2090,12316.054124963563,12316054125
SSP3,2091,12371.162020005622,12371162020
SSP3,2092,12426.05231256859,12426052313
SSP3,2093,12480.692463822994,12480692464
SSP3,2094,12535.049715002913,12535049715
SSP3,2095,12589.091418767308,12589091419
SSP3,2096,12642.784960977684,12642784961
SSP3,2097,12696.09757003732,12696097570
SSP3,2098,12748.996545942318,12748996546
SSP3,2099,12801.449241628776,12801449242
SSP3,2100,12853.422862864323,12853422863
SSP4,2010,6872.462262253336,6872462262
SSP4,2011,6948.157286094297,6948157286
SSP4,2012,7023.234075802007,7023234076
SSP4,2013,7097.6307470372385,7097630747
SSP4,2014,7171.285237866943,7171285238
SSP4,2015,7244.135721665194,7244135722
SSP4,2016,7316.120310560815,7316120311
SSP4,2017,7387.177097201642,7387177097
SSP4,2018,7457.244441311957,7457244441
SSP4,2019,7526.2605323686785,7526260532
SSP4,2020,7594.1635948760395,7594163595
SSP4,2021,7660.899024693968,7660899025
SSP4,2022,7726.43952811514,7726439528
SSP4,2023,7790.76531676554,7790765317
SSP4,2024,7853.855821732069,7853855822
SSP4,2025,7915.691127038754,7915691127
SSP4,2026,7976.25984375857,7976259844
SSP4,2027,8035.5854960007,8035585496
SSP4,2028,8093.700443264054,8093700443
SSP4,2029,8150.637125869511,8150637126
SSP4,2030,8206.4278916165,8206427892
SSP4,2031,8261.101919730361,8261101920
SSP4,2032,8314.675619693402,8314675620
SSP4,2033,8367.162333069917,8367162333
SSP4,2034,8418.575257506847,8418575258
SSP4,2035,8468.92760170639,8468927602
SSP4,2036,8518.227217671927,8518227218
SSP4,2037,8566.460291409569,8566460291
SSP4,2038,8613.607644680751,8613607645
SSP4,2039,8659.65003226757,8659650032
SSP4,2040,8704.568246863157,8704568247
SSP4,2041,8748.335954014208,8748335954
SSP4,2042,8790.898603147918,8790898603
SSP4,2043,8832.19453004802,8832194530
SSP4,2044,8872.161885752528,8872161886
SSP4,2045,8910.738768657453,8910738769
SSP4,2046,8947.86690178738,8947866902
SSP4,2047,8983.500290525735,8983500291
SSP4,2048,9017.596707513798,9017596708
SSP4,2049,9050.113434565945,9050113435
SSP4,2050,9081.008037023932,9081008037
SSP4,2051,9110.25133634344,9110251336
SSP4,2052,9137.869108911496,9137869109
SSP4,2053,9163.900406379418,9163900406
SSP4,2054,9188.384307827517,9188384308
SSP4,2055,9211.360068570266,9211360069
SSP4,2056,9232.86433798752,9232864338
SSP4,2057,9252.923573348276,9252923573
SSP4,2058,9271.56198627073,9271561986
SSP4,2059,9288.803621088398,9288803621
SSP4,2060,9304.672766071093,9304672766
SSP4,2061,9319.199210815046,9319199211
SSP4,2062,9332.436806678621,9332436807
SSP4,2063,9344.444972908226,9344444973
SSP4,2064,9355.283521451967,9355283521
SSP4,2065,9365.011987169926,9365011987
SSP4,2066,9373.68684491228,9373686845
SSP4,2067,9381.352321151518,9381352321
SSP4,2068,9388.049518199929,9388049518
SSP4,2069,9393.81952871329,9393819529
SSP4,2070,9398.703395009037,9398703395
SSP4,2071,9402.73618082577,9402736181
SSP4,2072,9405.928123324526,9405928123
SSP4,2073,9408.283623949534,9408283624
SSP4,2074,9409.806879597365,9409806880
SSP4,2075,9410.502139559456,9410502140
SSP4,2076,9410.37008932829,9410370089
SSP4,2077,9409.396787906546,9409396788
SSP4,2078,9407.564525653133,9407564526
SSP4,2079,9404.855705055936,9404855705
SSP4,2080,9401.252653820628,9401252654
SSP4,2081,9396.757345311424,9396757345
SSP4,2082,9391.449894326883,9391449894
SSP4,2083,9385.42971643933,9385429716
SSP4,2084,9378.796493817516,9378796494
SSP4,2085,9371.649768900821,9371649769
SSP4,2086,9364.081972049107,9364081972
SSP4,2087,9356.15661538594,9356156615
SSP4,2088,9347.930017236438,9347930017
SSP4,2089,9339.458429940316,9339458430
SSP4,2090,9330.7982764929,9330798276
SSP4,2091,9321.993626355063,9321993626
SSP4,2092,9313.03995417433,9313039954
SSP4,2093,9303.920646226827,9303920646
SSP4,2094,9294.618902958438,9294618903
SSP4,2095,9285.118138711554,9285118139
SSP4,2096,9275.401619478069,9275401619
SSP4,2097,9265.452640808659,9265452641
SSP4,2098,9255.254451112378,9255254451
SSP4,2099,9244.790271942995,9244790272
SSP4,2100,9234.043438447954,9234043438
SSP5,2010,6872.462262253336,6872462262
SSP5,2011,6944.602528964543,6944602529
SSP5,2012,7015.4201521078085,7015420152
SSP5,2013,7084.860550149385,7084860550
SSP5,2014,7152.869348129003,7152869348
SSP5,2015,7219.39202032144,7219392020
SSP5,2016,7284.37412496353,7284374125
SSP5,2017,7347.761263337263,7347761263
SSP5,2018,7409.499013173503,7409499013
SSP5,2019,7469.533030136557,7469533030
SSP5,2020,7527.80911172402,7527809112
SSP5,2021,7584.296406545053,7584296407
SSP5,2022,7639.057824257246,7639057824
SSP5,2023,7692.180481583962,7692180482
SSP5,2024,7743.7504198890565,7743750420
SSP5,2025,7793.854526554232,7793854527
SSP5,2026,7842.568687536192,7842568688
SSP5,2027,7889.926377564179,7889926378
SSP5,2028,7935.950308935092,7935950309
SSP5,2029,7980.663341743783,7980663342
SSP5,2030,8024.088208289478,8024088208
SSP5,2031,8066.241184270608,8066241184
SSP5,2032,8107.111947903432,8107111948
SSP5,2033,8146.683587723811,8146683588
SSP5,2034,8184.93922696564,8184939227
SSP5,2035,8221.861876656783,8221861877
SSP5,2036,8257.425548035793,8257425548
SSP5,2037,8291.567426138807,8291567426
SSP5,2038,8324.21542768489,8324215428
SSP5,2039,8355.29737959873,8355297380
SSP5,2040,8384.741383989669,8384741384
SSP5,2041,8412.484253314022,8412484253
SSP5,2042,8438.499612204241,8438499612
SSP5,2043,8462.769912329466,8462769912
SSP5,2044,8485.277496068747,8485277496
SSP5,2045,8506.004941656252,8506004942
SSP5,2046,8524.941605930935,8524941606
SSP5,2047,8542.105903446192,8542105903
SSP5,2048,8557.522731160658,8557522731
SSP5,2049,8571.217210976836,8571217211
SSP5,2050,8583.214288782468,8583214289
SSP5,2051,8593.53751357683,8593537514
SSP5,2052,8602.203042782636,8602203043
SSP5,2053,8609.225384489731,8609225384
SSP5,2054,8614.619022464156,8614619022
SSP5,2055,8618.39857854503,8618398579
SSP5,2056,8620.580103838012,8620580104
SSP5,2057,8621.186949884392,8621186950
SSP5,2058,8620.244305292706,8620244305
SSP5,2059,8617.777059594875,8617777060
SSP5,2060,8613.810362275395,8613810362
SSP5,2061,8608.37126310664,8608371263
SSP5,2062,8601.496269733327,8601496270
SSP5,2063,8593.22337582875,8593223376
SSP5,2064,8583.590916911717,8583590917
SSP5,2065,8572.637180178532,8572637180
SSP5,2066,8560.40124637412,8560401246
SSP5,2067,8546.926481305745,8546926481
SSP5,2068,8532.256938388538,8532256938
SSP5,2069,8516.43689496859,8516436895
SSP5,2070,8499.510313923753,8499510314
SSP5,2071,8481.509091829459,8481509092
SSP5,2072,8462.415756506694,8462415757
SSP5,2073,8442.200503542286,8442200504
SSP5,2074,8420.833591623883,8420833592
SSP5,2075,8398.285134674097,8398285135
SSP5,2076,8374.504619685047,8374504620
SSP5,2077,8349.357831200798,8349357831
SSP5,2078,8322.689942655392,8322689943
SSP5,2079,8294.346119790023,8294346120
SSP5,2080,8264.17143663113,8264171437
SSP5,2081,8232.07869279463,8232078693
SSP5,2082,8198.25011853443,8198250119
SSP5,2083,8162.935225718715,8162935226
SSP5,2084,8126.383774418937,8126383774
SSP5,2085,8088.845244247545,8088845244
SSP5,2086,8050.544612950871,8050544613
SSP5,2087,8011.608451017008,8011608451
SSP5,2088,7972.138639327699,7972138639
SSP5,2089,7932.237042251089,7932237042
SSP5,2090,7892.005487131371,7892005487
SSP5,2091,7851.5258417786645,7851525842
SSP5,2092,7810.80030392664,7810800304
SSP5,2093,7769.811289113021,7769811289
SSP5,2094,7728.540948675424,7728540949
SSP5,2095,7686.9716974955945,7686971697
SSP5,2096,7645.085748690848,7645085749
SSP5,2097,7602.865440625716,7602865441
SSP5,2098,7560.293069684971,7560293070
SSP5,2099,7517.350996659766,7517350997
SSP5,2100,7474.021430781843,7474021431
