scenario,year,gdp_billion_ppp_2010
SSP4,2082,362726.37268171884
SSP4,2083,365422.69453102385
SSP4,2084,368107.2867932703
SSP4,2085,370780.975539341
SSP4,2086,373424.65255257126
SSP4,2087,376057.5411293095
SSP4,2088,378680.4900917567
SSP4,2089,381294.35217089386
SSP4,2090,383899.9969286653
SSP4,2091,386484.75890159846
SSP4,2092,389060.73599926184
SSP4,2093,391628.6732311067
SSP4,2094,394189.37893926806
SSP4,2095,396743.7446591849
SSP4,2096,399272.885109401
SSP4,2097,401796.80844346125
SSP4,2098,404316.74891033856
SSP4,2099,406834.11902540637
SSP4,2100,409350.53937369934
SSP5,2010,77476.38905162214
SSP5,2011,81314.96199682678
SSP5,2012,84417.92869144546
SSP5,2013,87713.38621281051
SSP5,2014,91210.23496122945
SSP5,2015,94917.45643793272
SSP5,2016,98701.66793248491
SSP5,2017,102858.81924736213
SSP5,2018,107777.2779543162
SSP5,2019,112661.67972475154
SSP5,2020,117809.50725682777
SSP5,2021,123212.15521911003
SSP5,2022,128885.3325707461
SSP5,2023,134833.04167496492
SSP5,2024,141059.41465082578
SSP5,2025,147568.72841306668
SSP5,2026,154363.23450440887
SSP5,2027,161446.969426236
SSP5,2028,168823.22449214052
SSP5,2029,176495.40199136574
SSP5,2030,184467.02491694622
SSP5,2031,192842.34115186217
SSP5,2032,201507.37680389703
SSP5,2033,210441.55603822207
SSP5,2034,219624.48316023246
SSP5,2035,229035.94517286742
SSP5,2036,238681.053989306
SSP5,2037,248515.73511929455
SSP5,2038,258519.5725705657
SSP5,2039,268672.3286526571
SSP5,2040,278953.9494636787
SSP5,2041,289349.65031858924
SSP5,2042,299855.82096960134
SSP5,2043,310473.4804088617
SSP5,2044,321203.847759391
SSP5,2045,332048.3444018743
SSP5,2046,343045.5786087621
SSP5,2047,354162.23833764414
SSP5,2048,365400.4382021796
SSP5,2049,376762.4916077476
SSP5,2050,388250.9086810483
SSP5,2051,399972.926562639
SSP5,2052,411829.65456802584
SSP5,2053,423822.57303702255
SSP5,2054,435953.33277076494
SSP5,2055,448223.7500711475
SSP5,2056,460699.7553475836
SSP5,2057,473324.16069860436
SSP5,2058,486099.745652303
SSP5,2059,499029.4444808981
SSP5,2060,512116.3362522631
SSP5,2061,525411.4677781704
SSP5,2062,538860.1427180639
SSP5,2063,552452.9103224606
SSP5,2064,566180.423055289
SSP5,2065,580033.4245735374
SSP5,2066,594026.1335194629
SSP5,2067,608127.7992360867
SSP5,2068,622329.7045927431
SSP5,2069,636623.1661549129
SSP5,2070,650999.5225870985
SSP5,2071,665606.2036549394
SSP5,2072,680299.5896074194
SSP5,2073,695083.7553968715
SSP5,2074,709962.7075636524
SSP5,2075,724940.359701771
SSP5,2076,740069.2953963869
SSP5,2077,755308.4776201026
SSP5,2078,770662.5360571506
SSP5,2079,786135.962270028
SSP5,2080,801733.0811667959
SSP5,2081,817245.9475282532
SSP5,2082,832870.952877337
SSP5,2083,848603.9021588976
SSP5,2084,864440.2049579908
SSP5,2085,880374.8275304507
SSP5,2086,896497.0886558444
SSP5,2087,912710.7121013111
SSP5,2088,929009.438005954
SSP5,2089,945386.4213117028
SSP5,2090,961834.1771464129
SSP5,2091,978402.1067590897
SSP5,2092,995026.534378367
SSP5,2093,1011697.8104849797
SSP5,2094,1028405.3625700811
SSP5,2095,1045137.6219850369
SSP5,2096,1061881.4541958126
SSP5,2097,1078624.3510468267
SSP5,2098,1095351.3123346942
SSP5,2099,1112045.9997869884
SSP5,2100,1128690.6377100986
